Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,26.69,-3.43
189502,26.60,-7.22
189503,39.97,-1.53
189504,52.90,1.85
189505,59.94,-0.26
189506,67.80,-0.69
189507,71.24,-2.37
189508,71.62,-0.48
189509,65.57,0.71
189510,50.85,-3.26
189511,39.16,-2.53
189512,31.71,-0.97
189601,31.48,1.36
189602,35.04,1.22
189603,38.03,-3.47
189604,52.34,1.29
189605,62.46,2.26
189606,69.89,1.40
189607,73.69,0.08
189608,72.27,0.17
189609,62.94,-1.92
189610,51.91,-2.20
189611,38.32,-3.37
189612,35.55,2.87
189701,28.17,-1.95
189702,33.39,-0.43
189703,38.79,-2.71
189704,51.15,0.10
189705,61.18,0.98
189706,68.11,-0.38
189707,73.36,-0.25
189708,71.35,-0.75
189709,66.40,1.54
189710,55.11,1.00
189711,40.91,-0.78
189712,30.76,-1.92
189801,30.67,0.55
189802,35.37,1.55
189803,41.05,-0.45
189804,50.79,-0.26
189805,59.94,-0.26
189806,69.31,0.82
189807,73.29,-0.32
189808,72.75,0.65
189809,65.46,0.60
189810,51.49,-2.62
189811,38.39,-3.30
189812,28.67,-4.01
189901,29.68,-0.44
189902,25.50,-8.32
189903,37.63,-3.87
189904,50.61,-0.44
189905,59.90,-0.30
189906,68.65,0.16
189907,73.08,-0.53
189908,71.74,-0.36
189909,64.80,-0.06
189910,53.98,-0.13
189911,44.92,3.23
189912,31.62,-1.06
190001,34.11,3.99
190002,30.76,-3.06
190003,41.27,-0.23
190004,51.60,0.55
190005,61.74,1.54
190006,70.30,1.81
190007,73.13,-0.48
190008,72.86,0.76
190009,65.14,0.28
190010,56.35,2.24
190011,41.54,-0.15
190012,34.48,1.80
190101,31.62,1.50
190102,29.86,-3.96
190103,40.71,-0.79
190104,49.39,-1.66
190105,61.18,0.98
190106,68.43,-0.06
190107,76.24,2.63
190108,73.20,1.10
190109,63.25,-1.61
190110,55.45,1.34
190111,41.68,-0.01
190112,31.48,-1.20
190201,30.06,-0.06
190202,31.46,-2.36
190203,41.58,0.08
190204,50.85,-0.20
190205,61.99,1.79
190206,68.04,-0.45
190207,72.05,-1.56
190208,71.37,-0.73
190209,62.76,-2.10
190210,54.43,0.32
190211,43.68,1.99
190212,30.79,-1.89
190301,30.88,0.76
190302,28.42,-5.40
190303,42.21,0.71
190304,50.22,-0.83
190305,59.54,-0.66
190306,65.89,-2.60
190307,71.92,-1.69
190308,70.97,-1.13
190309,62.73,-2.13
190310,53.94,-0.17
190311,40.23,-1.46
190312,30.54,-2.14
190401,27.55,-2.57
190402,31.59,-2.23
190403,41.76,0.26
190404,49.46,-1.59
190405,60.13,-0.07
190406,67.26,-1.23
190407,71.35,-2.26
190408,70.72,-1.38
190409,64.96,0.10
190410,53.92,-0.19
190411,43.14,1.45
190412,32.02,-0.66
190501,27.10,-3.02
190502,26.94,-6.88
190503,45.12,3.62
190504,50.49,-0.56
190505,59.14,-1.06
190506,68.00,-0.49
190507,71.98,-1.63
