SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018
040,3,6,01,000,Alabama,Alabama,4779736,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310,13386,16730,14896,12021,10679,11585,10375,12751,14227,59689,59070,57936,58907,59637,59388,58259,57216,11073,48818,48364,50847,49692,51820,51662,53033,53425,3154,10871,10706,7089,9215,7817,7726,5226,3791,928,4716,5874,5111,3753,4685,5950,3190,3344,1238,-2239,59,2641,-755,-1553,-1977,2065,5718,2166,2477,5933,7752,2998,3132,3973,5255,9062,-10,38,91,55,-192,-270,-114,-106,-102,116185,116250,115403,115929,117240,119454,120413,119229,117456,117443,12.455601786,12.287820829,12.012410502,12.179749675,12.301816868,12.222387438,11.962999487,11.720998206,10.187095914,10.060744313,10.542582104,10.274434632,10.689339673,10.632332792,10.889883997,10.944391939,2.2685058724,2.2270765159,1.4698283977,1.9053150433,1.6124771946,1.5900546466,1.0731154898,0.7766062675,0.9841112772,1.2219173785,1.0597112344,0.7759790947,0.9664136698,1.2245437674,0.6550398799,0.685035969,-0.467223314,0.0122732593,0.5475831286,-0.156105573,-0.320350145,-0.40687782,0.4240305179,1.1713623417,0.516887963,1.2341906378,1.6072943629,0.6198735214,0.6460635248,0.8176659475,1.0790703978,1.8563983107
050,3,6,01,001,Alabama,Autauga County,54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601,180,454,-272,-223,163,-38,404,201,158,151,636,614,573,639,650,669,660,655,152,507,560,582,576,583,552,512,532,-1,129,54,-9,63,67,117,148,123,24,4,-14,11,7,5,23,-2,-2,147,326,-323,-224,101,-107,266,59,37,171,330,-337,-213,108,-102,289,57,35,10,-5,11,-1,-8,-3,-2,-4,0,455,455,455,455,455,455,455,455,455,455,11.567632455,11.149041255,10.451531706,11.661754373,11.84898919,12.154796512,11.925735194,11.797125464,9.2213673815,10.168506682,10.61569189,10.512003942,10.627631843,10.029069767,9.2514794236,9.5817873996,2.3462650734,0.9805345729,-0.164160184,1.1497504312,1.2213573473,2.1257267442,2.6742557709,2.2153380642,0.0727524054,-0.254212667,0.2006402247,0.1277500479,0.0911460707,0.417877907,-0.036138591,-0.036021757,5.9293210382,-5.86504939,-4.085764576,1.8432506912,-1.950525913,4.8328488372,1.0660884492,0.6664025071,6.0020734436,-6.119262057,-3.885124351,1.9710007391,-1.859379842,5.2507267442,1.0299498577,0.63038075
050,3,6,01,003,Alabama,Baldwin County,182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022,847,3429,3603,4743,4303,3806,4717,4907,5403,516,2188,2094,2161,2216,2256,2300,2282,2254,532,1825,1882,1904,1989,2090,2012,2124,2228,-16,363,212,257,227,166,288,158,26,36,176,241,206,112,176,222,113,118,780,2845,3081,4198,3876,3430,4190,4623,5232,816,3021,3322,4404,3988,3606,4412,4736,5350,47,45,69,82,88,34,17,13,27,2307,2307,2263,2241,2297,2332,2337,2275,2193,2190,11.838193323,11.118101958,11.225128497,11.246590116,11.218745649,11.200198682,10.858109442,10.468116134,9.8741786171,9.9924870514,9.8901641175,10.094525154,10.393252839,9.7977390208,10.106320971,10.347365903,1.9640147058,1.125614907,1.3349643793,1.1520649623,0.8254928093,1.402459661,0.7517884715,0.1207502305,0.9522495543,1.279590531,1.070049269,0.5684197171,0.8752212917,1.0810626554,0.5376715017,0.5480202768,15.392897625,16.358582681,21.806149667,19.671382351,17.056869493,20.403840207,21.996950023,24.298661762,16.345147179,17.638173212,22.876198936,20.239802068,17.932090784,21.484902863,22.534621524,24.846682039
050,3,6,01,005,Alabama,Barbour County,27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881,-127,20,-176,-230,-186,-464,-475,-661,-277,70,334,300,283,264,272,276,273,261,128,318,292,295,313,330,281,298,324,-58,16,8,-12,-49,-58,-5,-25,-63,-1,-4,-11,-10,4,15,20,12,12,-69,11,-174,-209,-141,-427,-493,-650,-227,-70,7,-185,-219,-137,-412,-473,-638,-215,1,-3,1,1,0,6,3,2,1,3193,3193,3379,3389,3387,3351,3196,2977,2818,2820,12.216532553,11.004328369,10.458627444,9.8320360508,10.254090326,10.592366588,10.710712674,10.431863147,11.631309437,10.710879613,10.902102812,11.65692153,12.440624293,10.784257287,11.691547168,12.949899079,0.5852231163,0.2934487565,-0.443475369,-1.824885479,-2.186533967,-0.191890699,-0.980834494,-2.518035932,-0.146305779,-0.40349204,-0.369562807,0.1489702432,0.5654829224,0.7675627962,0.4708005571,0.4796258918,0.4023408925,-6.382510454,-7.72386267,-5.251201073,-16.09741386,-18.92042293,-25.50169684,-9.07292312,0.2560351134,-6.786002494,-8.093425478,-5.102230829,-15.53193094,-18.15286013,-25.03089629,-8.593297228
050,3,6,01,007,Alabama,Bibb County,22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400,-48,-125,-83,-148,25,21,14,-21,-155,44,266,245,258,254,252,274,270,250,34,277,239,281,249,262,243,219,256,10,-11,6,-23,5,-10,31,51,-6,0,10,20,20,14,11,16,10,10,-59,-125,-106,-148,10,23,-33,-81,-158,-59,-115,-86,-128,24,34,-17,-71,-148,1,1,-3,3,-4,-3,0,-1,-1,2224,2224,2224,2226,2224,2239,2255,2201,2149,2151,11.66180758,10.790337143,11.420982736,11.274607719,11.174422987,12.140546768,11.965168066,11.122233344,12.144062781,10.526083988,12.439132359,11.052666622,11.617852471,10.766981257,9.7050807649,11.389166945,-0.482255201,0.2642531545,-1.018149624,0.2219410968,-0.443429484,1.3735655102,2.2600873014,-0.2669336,0.4384138188,0.8808438484,0.8853474989,0.6214350711,0.487772432,0.7089370375,0.4431543728,0.4448893338,-5.480172735,-4.668472397,-6.551571492,0.4438821937,1.0198878123,-1.46218264,-3.58955042,-7.029251474,-5.041758916,-3.787628548,-5.666223993,1.0653172648,1.5076602443,-0.753245602,-3.146396047,-6.58436214
050,3,6,01,009,Alabama,Blount County,57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840,52,181,16,41,-90,1,-5,310,13,183,744,712,646,619,716,699,661,681,132,569,593,584,588,635,642,714,662,51,175,119,62,31,81,57,-53,19,-2,-13,5,47,43,16,42,8,8,9,27,-99,-64,-157,-90,-101,359,-10,7,14,-94,-17,-114,-74,-59,367,-2,-6,-8,-9,-4,-7,-6,-3,-4,-4,489,489,489,489,489,489,489,489,489,489,12.947349187,12.369271394,11.217127825,10.752874961,12.447519623,12.15240049,11.461367735,11.775182204,9.9019377518,10.301935305,10.140561377,10.214362645,11.039350504,11.16143221,12.380357886,11.446652891,3.0454114351,2.0673360898,1.0765664476,0.5385123163,1.4081691194,0.9909682803,-0.918990151,0.3285293126,-0.226230564,0.0868628609,0.8161068232,0.7469686968,0.2781568631,0.7301871539,0.1387154945,0.1383281316,0.4698634786,-1.719884646,-1.111294398,-2.727304312,-1.564632355,-1.755926251,6.2248578166,-0.172910165,0.2436329148,-1.633021785,-0.295187574,-1.980335615,-1.286475492,-1.025739097,6.3635733111,-0.034582033
050,3,6,01,011,Alabama,Bullock County,10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138,-33,-201,-70,-56,114,-265,-19,-205,-38,39,169,122,132,124,124,143,125,115,52,132,117,120,115,133,130,116,120,-13,37,5,12,9,-9,13,9,-5,2,17,7,18,6,-2,-1,-2,-2,-24,-260,-82,-86,95,-257,-31,-214,-30,-22,-243,-75,-68,101,-259,-32,-216,-32,2,5,0,0,4,3,0,2,-1,1690,1690,1690,1778,1715,1753,1660,1728,1660,1661,15.680816516,11.464010524,12.477549863,11.689291101,11.773083314,13.76257158,12.161307584,11.322240819,12.247738344,10.994174027,11.343227148,10.840874811,12.627581296,12.511428709,11.285693438,11.814512159,3.4330781721,0.4698364969,1.1343227148,0.8484162896,-0.854497982,1.2511428709,0.875614146,-0.49227134,1.5773602412,0.6577710957,1.7014840722,0.5656108597,-0.189888441,-0.096241759,-0.194580921,-0.196908536,-24.1243331,-7.705318549,-8.129312789,8.955505279,-24.40066461,-2.983494538,-20.82015858,-2.95362804,-22.54697286,-7.047547453,-6.427828717,9.5211161388,-24.59055305,-3.079736298,-21.0147395,-3.150536576
050,3,6,01,013,Alabama,Butler County,20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680,-1,-64,-191,-313,-31,-167,-147,-131,-218,65,276,242,240,250,239,231,234,221,59,261,272,261,288,277,254,261,239,6,15,-30,-21,-38,-38,-23,-27,-18,0,1,6,7,20,26,31,17,17,-4,-78,-168,-303,-11,-153,-154,-121,-217,-4,-77,-162,-296,9,-127,-123,-104,-200,-3,-2,1,4,-2,-2,-1,0,0,333,333,333,333,333,333,333,333,333,333,13.199426112,11.644412366,11.689924746,12.279883096,11.796934771,11.491108071,11.72139154,11.167820506,12.482065997,13.08793456,12.712793161,14.146425326,13.67259804,12.635244373,13.073859794,12.077416747,0.7173601148,-1.443522194,-1.022868415,-1.866542231,-1.875663269,-1.144136301,-1.352468255,-0.90959624,0.0478240077,0.2887044388,0.3409561384,0.9823906476,1.2833485525,1.5420967541,0.8515540862,0.8590631159,-3.730272597,-8.083724287,-14.75852999,-0.540314856,-7.552012636,-7.660738714,-6.061061437,-10.96568801,-3.682448589,-7.795019848,-14.41757385,0.4420757914,-6.268664084,-6.11864196,-5.209507351,-10.10662489
050,3,6,01,015,Alabama,Calhoun County,118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277,-117,-680,-540,-716,-546,-459,-518,-354,-387,317,1383,1358,1308,1317,1387,1381,1308,1293,310,1326,1356,1411,1391,1454,1469,1446,1494,7,57,2,-103,-74,-67,-88,-138,-201,-4,28,70,46,68,55,75,47,71,-112,-773,-603,-656,-533,-438,-503,-258,-253,-116,-745,-533,-610,-465,-383,-428,-211,-182,-8,8,-9,-3,-7,-9,-2,-5,-4,2933,2934,2882,2958,2814,2797,2775,2760,2743,2739,11.706747251,11.554791665,11.189146186,11.327278357,11.981116999,11.979839864,11.389660487,11.29548661,11.224256583,11.537774299,12.070248676,11.963738948,12.559873192,12.743218508,12.591321915,13.051397522,0.4824906676,0.0170173662,-0.88110249,-0.636460591,-0.578756192,-0.763378644,-1.201661428,-1.755910912,0.2370129595,0.5956078178,0.393502083,0.5848556783,0.475098367,0.6506067993,0.4092615007,0.6202471379,-6.543250633,-5.130735916,-5.611681879,-4.584236419,-3.783510631,-4.363402934,-2.246584408,-2.210176421,-6.306237673,-4.535128098,-5.218179796,-3.999380741,-3.308412264,-3.712796135,-1.837322907,-1.589929283
050,3,6,01,017,Alabama,Chambers County,34215,34171,34122,34030,34104,34143,33980,34007,33771,33758,33615,-49,-92,74,39,-163,27,-236,-13,-143,81,401,394,406,425,421,391,366,357,80,441,475,452,455,446,443,460,461,1,-40,-81,-46,-30,-25,-52,-94,-104,6,27,31,29,29,23,26,20,20,-54,-76,124,58,-158,31,-209,66,-58,-48,-49,155,87,-129,54,-183,86,-38,-2,-3,0,-2,-4,-2,-1,-5,-1,458,458,458,458,458,458,458,458,458,458,11.767813124,11.565444565,11.897958885,12.47743053,12.384720608,11.53766709,10.839787351,10.597717186,12.941659819,13.943112103,13.246003487,13.358190332,13.120155324,13.072088288,13.623776452,13.685007347,-1.173846696,-2.377667537,-1.348044603,-0.880759802,-0.735434715,-1.534421199,-2.783989101,-3.087290161,0.7923465195,0.9099715267,0.849854206,0.8514011421,0.6765999382,0.7672105993,0.5923381066,0.5937096463,-2.230308722,3.6398861068,1.6997084121,-4.638668291,0.9119390472,-6.167192894,1.9547157518,-1.721757974,-1.437962202,4.5498576335,2.5495626181,-3.787267149,1.5885389854,-5.399982295,2.5470538583,-1.128048328
